label	tweet
1	"..All I wanna do is get money and fuck model bitches!" - Russell Simmons
1	"@USER: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers". Retweet
1	"@USER: I'm a fucking fag they said"
1	"@USER: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz" how does doing this stuff make him a pussy?
0	"@USER: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF" woof woof hot scally lad
1	"@USER: Have ya ever asked your bitch for other bitches - kanye voice" Yes
1	"@USER: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;" I SWEAR!!!!!
0	"@USER: http://t.co/3gzUpfuMev" woof woof and hot soles
0	"@USER: Lemmie eat a Oreo &amp; do these dishes." One oreo? Lol
1	"@USER: @USER @USER bitch fuck u http://t.co/pXmGA68NC1" maybe you'll get better. Just http://t.co/TPreVwfq0S
1	"@USER: Fuck Red Malone man bitch ass niggah" could you please use complete sentences?
0	"@USER: Why the eggplant emoji doe?"y he say she looked like scream lmao
1	"@USER: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9" that's one sexy bitch
1	"@USER: Him seh me pussy wetter then a shower curtain....#ahmesehwetness"&lt;lmao!!
1	"@USER: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"
1	"@USER: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7" @USER
0	"@USER: baby monkey bathtime http://t.co/7KPWAdLF0R" Awwwwe! This is soooo ADORABLE!
1	"@USER: &#128514;&#128514;&#128514;&#128514; I ain't shit ." Damn Skippy lol
1	"@USER: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy"No bs must b &gt;30%chance
1	"@USER: @USER http://t.co/LuUBGL9Y5u" 0 rings 0 mvps 0 bitches lol
1	"@USER: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1	"@USER: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e" he's a pussy with not tattooing them nipples
1	"@USER: &#128175;&#128175;&#128175; RT @USER Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee" but niggas act like bitches..
1	"@USER: Get worshiping bitch! http://t.co/R37CejCjou" woof woof
1	"@USER: Wow. RT @USER I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6" yeah she's a hoe
1	"@USER: Ok, sis." She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her
1	"@USER: @USER @USER queer" gaywad
1	"@USER: @USER faggot read my tweets after dat k" it wasn't even funny lol
1	"@USER: This bitch was so ungrateful http://t.co/06e77bGwbx" fr ..... LULWHORE
1	"@USER: I been kidnapped yo bitch"
1	"@USER: @USER alsarabsss" hes a beaner smh you can tell hes a mexican
1	"@USER: @USER happy birthday nigs" Thanks yo
1	"@USER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1" this bitch need to go!!!
1	"@USER: "@USER: @USER that nigga was eating that hoe lol" Hell Yea lol john Paul" nigga said john paul.. http://t.co/OSIpBKPr9h
1	"@USER: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"
1	"@USER: Leafs better win this damn game so I can go riot and shit #EarlyChristmas" you better start looting my nig
1	"@USER: Going back to school sucks more dick than the hoes who attend it."
1	"@USER: On my way to fuck yo bitch http://t.co/j906T5zE2R" me as a 9 year old
1	"@USER: @USER how come you never bring me food" i dont have a car retard
1	"@USER: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore" chill I brought like like 8 prople
1	"@USER: How bout them Cowboys!!!!" Shutup pussy
1	"@USER: LMAOOOOOOOOOOO this nigga @USER http://t.co/AAnpSUjmYI" &lt;bitch want likes for some depressing shit..foh
1	"@USER: @USER girl you know I was spitting that G shit to you &amp; you was going lbvs"bitch plz
1	"@USER: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail."lmao bitch don't trick me again
1	"@USER: Harlem shake is just an excuse to go full retard for 30 seconds."
1	"@USER: amen miley &#128591; http://t.co/P2Kb2tfyxr"okay, but she don't need to act like a hoe just bc she's "emotionally damaged" foh
1	"@USER: having one loyal female is wayyyyy better than having hoes , idc &#128175;"
1	"@USER: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""  &#128533;
1	"@USER: Check out our 12th man. #CowboysNation" even with all those faggot ny fans in the stands
1	"@USER: What happen to them vixen ent bitches" they got ran and threw to the side like a foothill bitch
1	"@USER: @USER im the bitch okay nudes pat &#128554;&#128527;&#128056;" wow
1	"@USER: @USER you're fucking gay, blacklisted hoe" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn
1	"@USER: The fuck be wrong with these bitches?" Nobody knows
1	"@USER: Yall shut up:p" make me bitch
1	"@USER: I hate a "I'm pregnant" type of bitch."
1	"@USER: Got bitches in the DM but I don't ever read'em" which is y your top 3
0	"@USER: Baseball season for the win. #Yankees" This is where the love started
1	"@USER: Little stupid as bitch I don't fuck with yoooooouuuu.."
1	"@USER: she really asked me that dead ass serious tho, all i could say was "bitch wheet" LOL
0	"@USER: I'm an early bird and I'm a night owl, so I'm wise and have worms."
0	"@USER: Overdosing on heavy drugs doesn't sound bad tonight." I do that pussy shit every day.
0	"@USER: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;  They *are* fairy tale creatures.
1	"@USER: @USER Aw." ...fag, don't tweet "aw" to me lol
0	"@USER: As long as the Lakers trash from now on, I could careless. And that's real.". CC: @USER hahaha
1	"@USER: @USER I didn't say anything tho" kiss me then faggot
0	"@USER: this the "I play soccer, cheat on girls, and wear khaki coloured cargos" haircut http://t.co/ZUai7qWBIR" &#128514; yup
1	"@USER: I could go for a fat ass bitch on my lap" same
1	"@USER: 17 missed calls!!!! &#128544;&#128545;"Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle
1	"@USER: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving" lmmfao &#128514;&#128514;&#128514;&#128514;
1	"@USER: &#8220;@USER: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;" fuck yeah
1	"@USER: These hoes be thinking Meat won't slap they ass &#128564;&#128075;" ainna bruh
1	"@USER: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;"&#128514;&#128514;&#128514;
1	"@USER: Yall still going trick or treating this year or nah?"hell yeah ima be da sweet tooth bandit steal bitches bags n shit
1	"@USER: I wanna have sex with my mom fuck her right in that pussy where I came from" damn you got hacked like fuck
1	"@USER: If she kiss u with her eyes open watch that bitch!"lmfao
1	"@USER: You a woulda coulda shoulda ass hoe &#128563;&#128586;"
1	"@USER: Happy Bday Bitch Ass Nigga @USER"preciate that bitch roll up!
1	"@USER: @USER @USER used to send that bitch up"
1	"@USER: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"
1	"@USER: @USER nigga you know we hacky sack hoes." ...nah, I throw no look passes lmao
1	"@USER: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."
0	"@USER: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf" I'm doing this idc
1	"@USER: I would wife a hoe only cuz we wouldn't care that we cheating in each other." ...why force the relationship in the first place?
1	"@USER: Being single isn't an excuse to be a hoe." @USER
1	"@USER: White boy power bitch" black power bitch
1	"@USER: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!" Bro white dudes have no chill.
1	"@USER: @USER bitch where u been" Around the world and back. Where you been?
1	"@USER: @USER if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;" *by @USER *
1	"@USER: #oomf is soooo cute. But he probably has hoes on him a lot."
1	"@USER: In every cartoon theirs alway a @USER saving these hoes lmao. http://t.co/9uKD8wtZ6x" lmao damn captain SaveAHoe
0	"@USER: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I" hot sox and legs
1	"@USER: I wish I was a bitch like my brother keezy &#128530;" ooooow I bet you do
1	"@USER: If you dressed up as a cat for Halloween you are basic." ...or a pussy
1	"@USER: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo" @USER get on it Katie&lt;3
1	"@USER: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it.". Says the guy who hits women out of bed. FOH
1	"@USER: @USER ha well iguess I make them hoes loyal bro" theyll never be loyal that y they hoes my nig
1	"@USER: @USER Oh man.. "its 5 am, you off a molly, ho where the fuck ya seed at??"" #fixed
1	"@USER: You're not a man if you refer to every girl as a bitch"
1	"@USER: Lmfao this cat started beating the shit out of me" my nigga finally got some pussy?!? MY NIGGA!!!
0	"@USER: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line" ooooow who tf said that trash!!?
1	"@USER: @USER io io alu record ho vine sai pe hahahaha" lol anywaaaaaays..... haha
1	"@USER: @USER naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill" Yeah I'm waiting on that hoe Mayne!
1	"@USER: Ol dirty foot ass bitches.." this was too funny to me.
1	"@USER: @USER that's where I get my yellow flags for being amazing &#128079;&#128524;" HELL YEAH NIGGY
1	"@USER: Don't got time for bitches to be actin iffy."
0	"@USER #UCFPINKPARTY come on stay alive knights nation!!!!" This is still the early bird special. #ComeAtMeUT
1	"@USER: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl"  Smfh &amp; wonder why nobody decent wants them
1	"@USER: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU." BYE HOE!
1	"@USER: dry pussy bitches always blame it on the condom&#128514;"&#128079;&#128514;&#128079;&#128514;
1	"@USER: shut yo bitch ass up! https://t.co/IemN1u0gm5" &#128557;&#128514;
1	"@USER: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"
1	"@USER: You love these hoes more then money wats wrong these niggas"
1	"@USER: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo." ...sounding like me over there lol
1	"@USER: Easy cum, easy hoe" That's a fact !
1	"@USER: Charlie Sheen is too real http://t.co/gGGdK3kOV7" major fucking respect for Charlie Sheen.
1	"@USER: Wish I had a bae &#128533;"  You got all the hoes tho
1	"@USER: Fuck twerking bitch can you cook ?"
1	"@USER: @USER bitch wtf" http://t.co/DaSmycxODB
1	"@USER: &#8220;@USER: "@USER: Shut up zoe" fight me pussy&#8221; for zoe? I'm good, man." You are good ma'am. Move along now
1	"@USER: Lmao fucking snake bitches" @USER em
1	"@USER: Big booty hoes everywhere sheesh &#128525;" damn &#127807;&#128064;&#127807;
0	"@USER: Stay tuned to @USER for an update on the report that @USER 1B @USER will be out 8-10 weeks" @USER #bum
0	"@USER: &#8220;@USER: "I play soccer, cheat on girls, and wear khaki coloured cargos" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao"@USER
1	"@USER: Oregon chokes every year get off the field trash ass program" RFT
1	"@USER: Def not cowboy lol RT @USER: Terrell Owens was the best Eagle &amp; Cowboy ever" ..dude cried like a bitch on tv, over Romo
1	"@USER: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR" This is why there's black people and niggers
1	"@USER: @USER @USER How could u do this to me bitch" potent
0	"@USER: http://t.co/3Jk4kR44X3" a pissed lad past out. I would lick his dirty soles while he slept.
0	"@USER: http://t.co/PrrskknqRv" love frat boy w/ soft long soles
0	"@USER: http://t.co/XpSC3makgJ" sexy lad with hot soles and arches.
1	"@USER: @USER nah fam I gotta cheat with the hoes" depends on the female i feel
0	"@USER: @USER &#128079;&#128079;&#128079;&#128079;&#128588;" I got hicks lol
1	"@USER: This new twitter is confusing the shit out of me." Go back to south america bitch
1	"@USER: Toto means ass or vagina?"I think pussy cause toto santi is like nasty pussy
1	"@USER: but what if he actually does choose the ugly bitch over you? &#58381;"Her ass must be fat!
1	"@USER: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;" dis why i love miley :*
1	"@USER: I'm tired of bitches saying I look mean.. &#128530;" nigga you big af, wear tight shirts, and grim everybody.
0	"@USER: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm" #Climate
1	"@USER: "Stay beautiful you bitch""
1	"@USER: #WutKinda  r purple. Ceeeleee"man this gurl was jus playin on the "stupid hoe " track. But in still shitted on sum gurls
1	"@USER: Money getting taller and bitches getting blurry"
1	"@USER: I ain't never seen a bitch so obsessed with they nigga&#128514;" I'm obsessed with mine &#128529;
1	"@USER: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP" @USER I meant to do this one. Smh.
1	"@USER: "At least I'm not a nigger" http://t.co/RGJa7CfoiT"  Lmfao
1	"@USER: People always asking me what I'm mixed with." She a bad asian bitch lol
1	"@USER: @USER Ariza is a snake and a coward" but at least he isn't a cripple like your hero Roach lmaoo
0	"@USER: &#8220;@USER: Fosters home for imaginary trash&#8221; WHOA CHILL"  that show was everything tf
1	"@USER: I am lowkey tired." ...if you tired, be quiet and go to sleep hoe!
1	"@USER: &#8220;@USER: Stop bringing weird niggers into my mentions! @USER&#8221; http://t.co/cussDJesRK"
1	"@USER: We don't love these hoes &#128080;&#128581;"
1	"@USER: If yo girl cant have homeboys you a ol weak bitch ass nigga!"
1	"@USER: @USER I think worst advice I gave you was " don't be a pussy and speed up" lol"
1	"@USER: Quote this tweet with your favorite animal."pussy
1	"@USER: I hate when strippers tell you they're "dancers". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"
1	"@USER: Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy &#128526;" smh
1	"@USER: When bitches TWERK on the computer....  ME: "In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""
1	"@USER: &#8220;@USER: &#8220;@USER: @USER Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!
0	"@USER: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."
1	"@USER: These bitches don't care they just play that role."
1	"@USER: It took a while for you to find me, but I was hiding In the lime tree." @USER dis bitch in da wrong tree bro.
1	"@USER: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM" ....dudes a fag
0	"@USER: @USER inna di ghetto!!!" You alone lmaoo
0	"@USER: &#8220;@USER: @USER @USER hoes Austin&#8221; teach us Austin."I teach u how to get curved? That's all I know
1	"@USER: bitches can't cook but know how to suck dick .." s/o to the ones that can do both!
1	"@USER: Fat hoes get chose" lol
1	"@USER: #hoesaintloyal" well they're hoes,no one expects them to be loyal
1	"@USER: @USER @USER ol bitch ass" http://t.co/AmcOinY0wG
1	"@USER: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad" lmaooo
1	"@USER: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls" lol bitch fuck you
1	"@USER : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory" Me: *rolls on the floor, laughing*
1	"@USER: "I don't want to have sex with my gf because I feel like I'm using her.." - anonymous" Whata faggot
1	"@USER: @USER One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT" @USER somebody, bitch if you don't
1	"@USER: If ya bitch always bitching clearly she care!" Or just an annoying Bitch!
1	"@USER: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"
1	"@USER: Can't worry about a bitch that ain't worried bout me" #real
1	"@USER: Side hoes are for insecure niggas that can't handle a real one."
1	"@USER: &#128514;&#128514;&#128514;&#128514;RT @USER: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!" &#128557;&#128557;&#128557;
1	"@USER: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"
1	"@USER: i'm hungry but ionn wanna spend my money on food&#128530;"Broke hoe problems &#128514;&#128514;&#128514;&#128128;
1	"@USER: Dese hoes be LYIN to all of us nigga"
1	"@USER: http://t.co/4b427dQZCV" oh yeah fuck that bitch
0	"@USER: Eli Manning just threw his NFL-leading 27th interception of the season." Lmao trash
0	"@USER: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR" he's a bitch
1	"@USER: Guess what? I also have zero time for your mansplaining! Adios!" Stfu pussy
0	"@USER: Chilling &#128069;&#8482; http://t.co/mik3iPNle6" sexy scally lad
1	"@USER: I ain't sharing no bitch if you mines you mines &#128175;"
1	"@USER: money only impress the simple broke bitches"
1	"@USER: #Pisces will never be anybody's bitch, they don't let people control or change them." Rigghhht
0	"@USER: @USER @USER tuku ho idk blah blah blah" &#128514;&#128514;&#128514;
0	"@USER: @USER @USER I'm not mad cuh hahaha" suure.. tuku ho ita! &#128514;&#128514;
1	"@USER: These hoes is crazy"
1	"@USER: You ain't ever gonna be a slice bitch." Kevin hart. (:
1	"@USER: Oomf so fuckin fine tho &#128553; dam" @USER her, don't be no bitch.
1	"@USER: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter" she probly sends nudes for fags
1	"@USER: #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Later d.) Jesse Pinkman" @USER
1	"@USER: Hickies in between her thighs right by her pussy &gt;&gt;&gt;" Its only right
1	"@USER: Would you still love me when I'm no longer young and beautiful?" No. Ugly monkey ass.
1	"@USER: @USER @USER y'all come through the front."bitch I ain't coming
1	"@USER: @USER faggot bitch" http://t.co/2HyyAbk4eH
1	"@USER: @USER yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @USER"i work 2-5
0	"@USER: http://t.co/BYj1HOyhmG" this scally lad would get it
1	"@USER: #GerrysHalloweenParty http://t.co/3ycrSrnjHc" Halloween was yesterday stupid nigger
1	"@USER: Chrus still supahot tho" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI
1	"@USER: &#8220;@USER: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol" and ever.
1	"@USER: &#8220;@USER: "@USER: &#8220;@USER: No slushes &#128549;&#8221;hoes nasty anyway fam"&#128564;&#8221;them hoes taste like meds"&#127815;&#127815;&#127868;
1	"@USER: &#8220;@USER: No slushes &#128549;&#8221;hoes nasty anyway fam"&#128564;
1	"@USER: BOBBY BITCH-by @USER be getting me live as fuck" hell yea i play that hoe before my workout
1	"@USER: Yo bitch is Gucci Mane RT @USER : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;
1	"@USER: I can ride your bitch with no handle bars"
1	"@USER: And if you ain't a hoe get up out my traphoussseeeee"
0	"@USER: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0"ned stark was the man
1	"@USER: These harbor bitches are all "Party Bus hoes"" Lol all?
1	"@USER: @USER pussy" love it
1	"@USER: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"   bitchy promo
1	"@USER: On my way to fuck your bitch https://t.co/4lMTFNL2iy"  LMFAO KITTYCOPTER
0	"@USER: A smuggler explains how he helped fighters along the "Jihadi Highway": http://t.co/UX4anxeAwd"
1	"@USER: "@USER: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0" &#128128;&#128128;&#128128;" do I gotta get Ike avi on this bitch ?
1	"@USER: "@USER: Its simple, dont be a hoe=dont worry about being exposed &#128540;" fight me"why ?
1	"@USER: whys this bitch boosting herself http://t.co/uOd2f5WtKV"  Her size isn't exactly the most healthy tho
1	"@USER: @USER bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;" &#128514;&#128514; Kim bye!!!
1	"@USER: Damn near gotta protect my tweets.. stalkers being annoying" you got that dope dick. Drive these bitches loco
1	"@USER: I'm making marack my girlfriend ." @USER aye b you pullin hoes just like o taught you
1	"@USER: Bruno fag boy" you love me.
1	"@USER: &#8220;@USER: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw" This why we always beefing &#128514;
0	"@USER: Down 6-1, #Yankees look to rally in the bottom of the 9th." #RALLYCAP
1	"@USER: &#8220;@USER: Don't take advantage of a nice person&#8221;@USER hoes"@USER everyjuan
1	"@USER: Happy birthday bitch nigga @USER" Thanks pal
1	"@USER: Sad knowing that most hoes won't fuck with you bc you ain't got stacks." wait till friday
1	"@USER: @USER cinco shit harder fucc nigga"yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
1	"@USER: @USER ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"&#128563;&#128563;&#128563;&#128563;&#128563;
1	"@USER: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back" Strong Mush or Shake..
1	"@USER My pussy still fresh" &lt;----- something stank girls say.
1	"@USER: Ass slapping is one the greatest things. Haha. &#128527;" I slapped a girl on the ass. . She got mad I aint get pussy for a week
1	"@USER: @USER @USER yeah Texans are so much better you fucking retard" I see that you're mad about this.
1	"@USER: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!" ..looking like black&amp;milds out here
1	"@USER: There's a lane some bitches need to stay in &#128526;" the left n get right the fuck outta our face &#128557;&#128129;&#128536;
1	"@USER: I hate when boys deny that they have bitches &#128080;&#128553;" smh
1	"@USER: Ya nigs out there still saying y'all don't eat butt?!" WITH A STRAIGHT FACE!
1	"@USER: Im a boss ass bitch" ...that needs to sit in a corner
1	"@USER: He's a hoe , I can't"
1	"@USER: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;"oooh shit bitches betta stay out da streets
1	"@USER: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"
1	"@USER: why do my friends hate me" because you a ratchet hoe..
1	"@USER: No love for these fuck niggas" hoes*
1	"@USER: Hot meat http://t.co/BRz8Imk5vK" sexy as fuck scally lad. I would love to meet him and his trainers.
1	"@USER: Sniff http://t.co/FHHbBRMYBN" perved up scally lad. fuck yeah.
1	"@USER: These bitches love Sosa"
1	"@USER: &#8220;@USER: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF" prob cause were retarded smh
1	"@USER: What should I name my cat, ideas?" Mr pussy
1	"@USER: http://t.co/tM28mh5XG2" woof woof. Sexy thug boy scally.
1	"@USER: @USER u see the damn phone ringing? &#128547;&#128530;&#128542;" when you married bitches makes demands!!!! You haven't called me
1	"@USER: Tevin is my favorite sophomore I think he's so funny" Hes really not. Lmaoo hes a little hoe
1	"@USER: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0"naw this what u call fucking the soul outta bitch &#128557;
1	"@USER: @USER is bored supposed to be cute, you faggot?" Sometimes
0	"@USER: One mans trash &#128686; is another mans treasure &#127942;"
1	"@USER: I don't got no type. Bad bitches is the only thing I like" *Iongotnotype
1	"@USER: @USER lassen cc , the coach wants me" i feel it youll get more my nig no doubt
1	"@USER: god teeth , gold chain white bitches , cocaine"
1	"@USER: Its me hoe, its me hoe&#128129;" shhhhh
1	"@USER: In D.C., we call them rollers, in Chiraq we call them thots." All across America they have been known as a hoe.
1	"@USER: I'm gonna miss that bitch of a bus driver..."no you won't. Don't lie
1	"@USER: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;" ON. MY. SOUL!
0	"@USER: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM" hahaha
1	"@USER: @USER yall both gimped up??" Ain't tht a bitch huh lol
0	"@USER: "@USER: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA"#redneck" woof woof
1	"@USER: oh my god I love Victoria Mitchell" all my bitches love me
1	"@USER: That long distance shit wack I knew the bitch was cheating"- uh oh
1	"@USER: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC" no bitches smh
1	"@USER: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"
1	"@USER: Roses are red and violets are blue and niggers are black, you know that's true." @USER
